"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\Orders\OrderItemCreateInput.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\Orders\OrderItemViewModel.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\Orders\OrderSuspendViewModel.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\Orders\OrderViewModel.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\Payments\PaymentInfoInput.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\PhotoStocks\PhotoViewModel.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\ServiceApiSettings.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\SignInInput.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\SignUpInput.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Models\UserViewModel.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Program.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 61
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Properties\launchSettings.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\BasketService.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 102
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\CatalogService.cs", "C#", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 118
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\ClientCredentialTokenService.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\DiscountService.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\IdentityService.cs", "C#", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 198
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IBasketService.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\ICatalogService.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IClientCredentialTokenService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IDiscountService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IIdentityService.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IOrderService.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 21
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IPaymentService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IPhotoStockService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\Interfaces\IUserService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\OrderService.cs", "C#", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 133
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\PaymentService.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\PhotoStockService.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 41
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Services\UserService.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Validators\CourseCreateInputValidator.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Validators\CourseUpdateInputValidator.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Validators\DiscountApplyInputValidator.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Views\Auth\SignIn.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
